2025-07-09 12:39:18 | INFO | logger_config.py:39 | 日志系统已初始化，日志文件: API\log\20250709\123918.log
2025-07-09 12:39:18 | INFO | service1.0.py:33 | 模型位置: D:\00deeplearn\yolo11\【2】训练模型\cls\train_new\weights\best.pt
2025-07-09 12:39:18 | INFO | service1.0.py:210 | 服务启动在端口: 5000
2025-07-09 12:56:32 | INFO | service1.0.py:77 | 接收到请求 - 雪橇号码: 未知, 日期: 20250528, 时间: 053100
2025-07-09 12:56:32 | INFO | service1.0.py:81 | 接收到图片数据
2025-07-09 12:56:36 | INFO | service1.0.py:105 | .....................
2025-07-09 12:56:36 | DEBUG | service1.0.py:106 | 模型所有类别: {0: 'C', 1: 'M', 2: 'S'}
2025-07-09 12:56:36 | INFO | service1.0.py:107 | 检测类别结果: M
2025-07-09 12:56:36 | INFO | service1.0.py:108 | ----------------------
2025-07-09 12:56:36 | INFO | service1.0.py:155 | 图像处理完成，准备显示结果
2025-07-09 12:56:39 | INFO | db_utils.py:228 | MinIO客户端连接成功 - 端点: 127.0.0.1:9000
2025-07-09 12:56:40 | INFO | db_utils.py:315 | 图片已保存到MinIO - URL: http://127.0.0.1:9000/skidcls/2025/07/09/_20250528_053100_32e94a7b-2429-4bfb-b713-09a43693db42.jpg
2025-07-09 12:56:40 | WARNING | service1.0.py:171 | 未提供雪橇号码，跳过数据库保存
2025-07-09 12:56:40 | INFO | service1.0.py:60 | 创建响应 - 状态码: 200, 消息: detection_success, 检测类别: M
2025-07-09 12:57:41 | INFO | service1.0.py:77 | 接收到请求 - 雪橇号码: 未知, 日期: 20250528, 时间: 053100
2025-07-09 12:57:41 | INFO | service1.0.py:81 | 接收到图片数据
2025-07-09 12:57:41 | INFO | service1.0.py:105 | .....................
2025-07-09 12:57:41 | DEBUG | service1.0.py:106 | 模型所有类别: {0: 'C', 1: 'M', 2: 'S'}
2025-07-09 12:57:41 | INFO | service1.0.py:107 | 检测类别结果: M
2025-07-09 12:57:41 | INFO | service1.0.py:108 | ----------------------
2025-07-09 12:57:41 | INFO | service1.0.py:155 | 图像处理完成，准备显示结果
2025-07-09 12:57:46 | INFO | db_utils.py:228 | MinIO客户端连接成功 - 端点: 127.0.0.1:9000
2025-07-09 12:57:46 | INFO | db_utils.py:315 | 图片已保存到MinIO - URL: http://127.0.0.1:9000/skidcls/2025/07/09/_20250528_053100_89eecfe4-f05a-4089-932b-d642cbf588ea.jpg
2025-07-09 12:57:46 | WARNING | service1.0.py:171 | 未提供雪橇号码，跳过数据库保存
2025-07-09 12:57:46 | INFO | service1.0.py:60 | 创建响应 - 状态码: 200, 消息: detection_success, 检测类别: M
2025-07-09 12:59:43 | INFO | service1.0.py:77 | 接收到请求 - 雪橇号码: 1005, 日期: 20250528, 时间: 185917
2025-07-09 12:59:43 | INFO | service1.0.py:81 | 接收到图片数据
2025-07-09 12:59:43 | INFO | service1.0.py:105 | .....................
2025-07-09 12:59:43 | DEBUG | service1.0.py:106 | 模型所有类别: {0: 'C', 1: 'M', 2: 'S'}
2025-07-09 12:59:43 | INFO | service1.0.py:107 | 检测类别结果: M
2025-07-09 12:59:43 | INFO | service1.0.py:108 | ----------------------
2025-07-09 12:59:43 | INFO | service1.0.py:155 | 图像处理完成，准备显示结果
2025-07-09 12:59:47 | INFO | db_utils.py:228 | MinIO客户端连接成功 - 端点: 127.0.0.1:9000
2025-07-09 12:59:47 | INFO | db_utils.py:315 | 图片已保存到MinIO - URL: http://127.0.0.1:9000/skidcls/2025/07/09/1005_20250528_185917_bf85f154-af0e-40ba-be55-0ab9f50eb6c3.jpg
2025-07-09 12:59:47 | INFO | db_utils.py:54 | 数据库localhost的skid连接失败
2025-07-09 12:59:47 | INFO | service1.0.py:60 | 创建响应 - 状态码: 200, 消息: detection_success, 检测类别: M
