name,class,confidence,box,path
M,1,0.93674,"{'x1': 87.26636, 'y1': 0.0, 'x2': 705.64972, 'y2': 588.40942}",E:\00learning\00test\01chenliang200\1001_20250516_174116.jpg
M,1,0.91323,"{'x1': 89.38068, 'y1': 0.0, 'x2': 703.5885, 'y2': 593.92078}",E:\00learning\00test\01chenliang200\1005_20250516_193558.jpg
M,1,0.91991,"{'x1': 91.34296, 'y1': 0.0, 'x2': 704.0354, 'y2': 598.3092}",E:\00learning\00test\01chenliang200\1008_20250516_195031.jpg
M,1,0.9003,"{'x1': 87.91663, 'y1': 0.0, 'x2': 706.09991, 'y2': 600.90094}",E:\00learning\00test\01chenliang200\1012_20250516_235002.jpg
M,1,0.89265,"{'x1': 88.81372, 'y1': 0.0, 'x2': 705.80725, 'y2': 596.59216}",E:\00learning\00test\01chenliang200\1014_20250516_202033.jpg
M,1,0.92431,"{'x1': 95.26495, 'y1': 0.0, 'x2': 710.57141, 'y2': 587.53052}",E:\00learning\00test\01chenliang200\1021_20250516_161730.jpg
M,1,0.55685,"{'x1': 98.33496, 'y1': 0.0, 'x2': 704.55078, 'y2': 585.85248}",E:\00learning\00test\01chenliang200\1023_20250516_163535.jpg
C,0,0.49023,"{'x1': 91.77496, 'y1': 0.0, 'x2': 700.86652, 'y2': 587.73962}",E:\00learning\00test\01chenliang200\1023_20250516_163535.jpg
M,1,0.92169,"{'x1': 82.88574, 'y1': 0.0, 'x2': 703.53394, 'y2': 588.48718}",E:\00learning\00test\01chenliang200\1025_20250516_172821.jpg
M,1,0.92421,"{'x1': 96.12207, 'y1': 0.0, 'x2': 706.2533, 'y2': 586.85883}",E:\00learning\00test\01chenliang200\1028_20250516_191039.jpg
M,1,0.89569,"{'x1': 85.11554, 'y1': 0.0, 'x2': 704.29364, 'y2': 593.30804}",E:\00learning\00test\01chenliang200\1029_20250516_230218.jpg
M,1,0.81078,"{'x1': 98.01019, 'y1': 0.0, 'x2': 706.35522, 'y2': 587.29083}",E:\00learning\00test\01chenliang200\1033_20250516_211805.jpg
M,1,0.63809,"{'x1': 97.09747, 'y1': 0.0, 'x2': 702.47919, 'y2': 586.37646}",E:\00learning\00test\01chenliang200\1035_20250516_162208.jpg
C,0,0.38463,"{'x1': 91.98627, 'y1': 0.0, 'x2': 701.55536, 'y2': 589.09753}",E:\00learning\00test\01chenliang200\1035_20250516_162208.jpg
C,0,0.92774,"{'x1': 91.98218, 'y1': 0.0, 'x2': 725.9762, 'y2': 590.41125}",E:\00learning\00test\01chenliang200\1041_20250516_180219.jpg
M,1,0.92256,"{'x1': 90.0755, 'y1': 0.0, 'x2': 707.60815, 'y2': 593.91071}",E:\00learning\00test\01chenliang200\1051_20250516_182734.jpg
M,1,0.88415,"{'x1': 83.1153, 'y1': 0.0, 'x2': 704.41534, 'y2': 597.74316}",E:\00learning\00test\01chenliang200\1052_20250516_193358.jpg
C,0,0.614,"{'x1': 97.30981, 'y1': 0.0, 'x2': 713.94391, 'y2': 586.89929}",E:\00learning\00test\01chenliang200\1054_20250516_165406.jpg
M,1,0.91439,"{'x1': 88.42163, 'y1': 0.0, 'x2': 704.47504, 'y2': 593.03345}",E:\00learning\00test\01chenliang200\1057_20250516_175257.jpg
M,1,0.89165,"{'x1': 87.42285, 'y1': 0.0, 'x2': 706.26001, 'y2': 596.87592}",E:\00learning\00test\01chenliang200\1058_20250516_163220.jpg
M,1,0.92811,"{'x1': 96.64056, 'y1': 0.0, 'x2': 707.78711, 'y2': 586.64331}",E:\00learning\00test\01chenliang200\1059_20250516_195336.jpg
M,1,0.87843,"{'x1': 85.67816, 'y1': 0.0, 'x2': 704.06201, 'y2': 590.56262}",E:\00learning\00test\01chenliang200\1063_20250516_161459.jpg
M,1,0.9279,"{'x1': 90.14746, 'y1': 0.0, 'x2': 702.01147, 'y2': 592.32483}",E:\00learning\00test\01chenliang200\1066_20250516_235757.jpg
M,1,0.92056,"{'x1': 93.70679, 'y1': 0.0, 'x2': 709.38904, 'y2': 588.33398}",E:\00learning\00test\01chenliang200\1067_20250516_164426.jpg
C,0,0.52626,"{'x1': 95.67535, 'y1': 0.0, 'x2': 702.84729, 'y2': 585.98157}",E:\00learning\00test\01chenliang200\1073_20250516_212132.jpg
M,1,0.48528,"{'x1': 98.47852, 'y1': 0.0, 'x2': 705.58191, 'y2': 586.08771}",E:\00learning\00test\01chenliang200\1073_20250516_212132.jpg
