name,class,confidence,box,path
M,1,0.90256,"{'x1': 76.59766, 'y1': 0.0, 'x2': 711.95825, 'y2': 593.9397}",E:\00learning\00test\验证图片\1008_20250516_195031.jpg
M,1,0.93116,"{'x1': 94.53619, 'y1': 0.0, 'x2': 709.88586, 'y2': 583.43243}",E:\00learning\00test\验证图片\1023_20250516_163535.jpg
C,0,0.85137,"{'x1': 93.37598, 'y1': 0.0, 'x2': 707.26099, 'y2': 590.0672}",E:\00learning\00test\验证图片\1033_20250516_211805.jpg
M,1,0.84478,"{'x1': 82.12, 'y1': 0.0, 'x2': 682.00427, 'y2': 583.95923}",E:\00learning\00test\验证图片\1076_20250516_204733.jpg
M,1,0.91158,"{'x1': 79.57361, 'y1': 0.0, 'x2': 708.34753, 'y2': 601.53589}",E:\00learning\00test\验证图片\1093_20250516_164149.jpg
C,0,0.85629,"{'x1': 107.33118, 'y1': 0.0, 'x2': 711.96069, 'y2': 594.97864}",E:\00learning\00test\验证图片\1095_20250516_155132.jpg
M,1,0.93511,"{'x1': 91.0202, 'y1': 0.0, 'x2': 710.78052, 'y2': 598.17957}",E:\00learning\00test\验证图片\1096_20250516_160432.jpg
C,0,0.94259,"{'x1': 110.52301, 'y1': 0.0, 'x2': 724.24609, 'y2': 598.70081}",E:\00learning\00test\验证图片\1110_20250516_192043.jpg
M,1,0.93664,"{'x1': 100.3233, 'y1': 0.0, 'x2': 713.97986, 'y2': 605.26477}",E:\00learning\00test\验证图片\1113_20250517_003721.jpg
M,1,0.92922,"{'x1': 96.08655, 'y1': 0.0, 'x2': 713.48352, 'y2': 602.26318}",E:\00learning\00test\验证图片\1118_20250517_015640.jpg
M,1,0.87095,"{'x1': 126.01538, 'y1': 0.0, 'x2': 715.771, 'y2': 599.04895}",E:\00learning\00test\验证图片\1123_20250517_122111.jpg
M,1,0.90115,"{'x1': 76.82037, 'y1': 0.0, 'x2': 734.27484, 'y2': 604.75073}",E:\00learning\00test\验证图片\1131_20250517_143600.jpg
M,1,0.85984,"{'x1': 91.21014, 'y1': 0.0, 'x2': 735.27594, 'y2': 605.00793}",E:\00learning\00test\验证图片\1131_20250517_225359.jpg
C,0,0.91946,"{'x1': 93.94067, 'y1': 0.0, 'x2': 713.25879, 'y2': 598.2854}",E:\00learning\00test\验证图片\1135_20250517_184748.jpg
S,2,0.91133,"{'x1': 103.14636, 'y1': 0.0, 'x2': 707.5874, 'y2': 596.47766}",E:\00learning\00test\验证图片\1140_20250517_135816.jpg
M,1,0.92464,"{'x1': 96.26501, 'y1': 0.0, 'x2': 719.75806, 'y2': 602.28448}",E:\00learning\00test\验证图片\1144_20250516_232904.jpg
C,0,0.93588,"{'x1': 116.16187, 'y1': 0.0, 'x2': 720.15924, 'y2': 598.48425}",E:\00learning\00test\验证图片\1145_20250517_153131.jpg
M,1,0.91616,"{'x1': 85.3999, 'y1': 0.0, 'x2': 718.10144, 'y2': 603.66077}",E:\00learning\00test\验证图片\1147_20250516_214625.jpg
C,0,0.92188,"{'x1': 112.98199, 'y1': 0.0, 'x2': 716.61938, 'y2': 600.37677}",E:\00learning\00test\验证图片\1153_20250517_092615.jpg
M,1,0.91544,"{'x1': 86.25073, 'y1': 0.0, 'x2': 700.76733, 'y2': 603.69208}",E:\00learning\00test\验证图片\1155_20250517_224635.jpg
M,1,0.92831,"{'x1': 93.32471, 'y1': 0.0, 'x2': 730.38745, 'y2': 598.82349}",E:\00learning\00test\验证图片\1156_20250516_161207.jpg
M,1,0.92097,"{'x1': 86.97034, 'y1': 0.0, 'x2': 729.95288, 'y2': 596.39819}",E:\00learning\00test\验证图片\1156_20250517_023618.jpg
M,1,0.91509,"{'x1': 97.02954, 'y1': 0.0, 'x2': 724.99341, 'y2': 606.36255}",E:\00learning\00test\验证图片\1159_20250517_104510.jpg
M,1,0.91094,"{'x1': 85.49841, 'y1': 0.0, 'x2': 730.42999, 'y2': 606.57141}",E:\00learning\00test\验证图片\1159_20250517_193509.jpg
S,2,0.94026,"{'x1': 105.9079, 'y1': 0.0, 'x2': 707.85852, 'y2': 601.08966}",E:\00learning\00test\验证图片\1172_20250517_124930.jpg
M,1,0.92194,"{'x1': 111.15314, 'y1': 0.0, 'x2': 706.16632, 'y2': 604.14587}",E:\00learning\00test\验证图片\1175_20250517_085432.jpg
C,0,0.92573,"{'x1': 123.13202, 'y1': 0.0, 'x2': 714.96729, 'y2': 597.33179}",E:\00learning\00test\验证图片\1186_20250517_083251.jpg
M,1,0.93522,"{'x1': 96.80396, 'y1': 0.0, 'x2': 726.03156, 'y2': 599.69458}",E:\00learning\00test\验证图片\1197_20250517_010239.jpg
M,1,0.93045,"{'x1': 99.91187, 'y1': 0.0, 'x2': 712.4657, 'y2': 602.79376}",E:\00learning\00test\验证图片\1198_20250517_121945.jpg
M,1,0.87679,"{'x1': 119.79974, 'y1': 0.0, 'x2': 717.07532, 'y2': 598.0116}",E:\00learning\00test\验证图片\1204_20250517_084737.jpg
