epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85957,1.88387,8.48693,0.72001,3.78309,2.1654,0.71359,0.16667,0.23832,0.1371,0,0,0,0,2.68354,8.25238,0.7768,5.63296,3.33656,0.08416,0.00016,0.00016
2,16.2881,1.33904,5.35256,0.45402,1.24796,1.41392,0.41566,0.33333,0.3049,0.09351,0.00433,0.33333,0.00323,0.00046,2.63694,8.57844,0.30112,8.1375,2.88912,0.06733,0.000329995,0.000329995
3,23.7321,1.31184,3.3751,0.39179,1.00339,1.39394,0.92485,0.16667,0.29599,0.08731,0.01626,0.16667,0.01222,0.00277,2.41407,5.78244,0.13228,3.77264,2.42234,0.0505,0.000499969,0.000499969
4,31.0016,1.35046,2.71818,0.4395,0.96734,1.42235,0,0,0,0,0,0,0,0,3.38285,8.26643,0.37991,6.66934,4.23257,0.0336699,0.000669908,0.000669908
5,38.3603,1.34806,2.83105,0.40183,0.9322,1.41556,0.35714,0.83333,0.59084,0.32825,0.00068,0.16667,0.00079,0.00023,1.3053,7.65236,0.06444,22.9086,1.55781,0.0168398,0.000839795,0.000839795
6,45.7015,1.33141,2.53546,0.38962,0.93229,1.38567,0.75595,0.83333,0.80742,0.46563,0.1667,0.5,0.14664,0.07267,1.19128,5.18763,0.07081,4.8986,1.94297,0.000999618,0.000999618,0.000999618
7,52.9011,1.37983,2.0288,0.36342,0.9319,1.45836,0.63236,0.66667,0.5996,0.32791,0.63236,0.66667,0.5996,0.3039,1.48194,2.90639,0.07387,4.78944,2.10552,0.00099945,0.00099945,0.00099945
8,60.1757,1.30552,1.83788,0.36288,0.86573,1.39423,1,0.63654,0.76231,0.49069,1,0.63654,0.77595,0.5334,1.19107,1.54274,0.08443,5.68686,1.48458,0.000999252,0.000999252,0.000999252
9,67.4469,1.26497,1.82366,0.35861,0.83103,1.36879,0.46554,0.83333,0.76843,0.46995,0.46554,0.83333,0.76843,0.25813,1.42844,2.03114,0.05795,8.63137,1.75965,0.000999023,0.000999023,0.000999023
10,74.9116,1.27218,1.57945,0.33999,0.77805,1.39038,0.82565,0.79491,0.78408,0.34474,0.82565,0.79491,0.84095,0.50931,2.06338,2.55299,0.1112,3.24147,2.38319,0.000998764,0.000998764,0.000998764
11,82.178,1.23248,1.52589,0.35,0.79317,1.33098,0.43199,0.5,0.6649,0.42612,0.59086,0.72713,0.77858,0.60352,1.2151,1.31564,0.06459,3.96274,1.4718,0.000998474,0.000998474,0.000998474
12,89.3777,1.23703,1.35551,0.33525,0.74877,1.30137,0.82074,0.77034,0.92667,0.66275,0.82074,0.77034,0.92667,0.68358,0.86933,1.21488,0.06088,3.81219,1.26243,0.000998154,0.000998154,0.000998154
13,96.6022,1.23876,1.17497,0.34908,0.79817,1.30944,0.95838,1,0.995,0.71946,0.95838,1,0.995,0.75693,0.83951,0.89596,0.06094,2.80066,1.20491,0.000997803,0.000997803,0.000997803
14,103.914,1.20391,1.45543,0.37294,0.79565,1.311,0.97929,1,0.995,0.73187,0.97929,1,0.995,0.74294,1.02853,1.09969,0.07245,1.05294,1.29624,0.000997422,0.000997422,0.000997422
15,111.097,1.27405,1.30365,0.36967,0.75857,1.33643,0.83832,1,0.97214,0.56775,0.83832,1,0.92357,0.49113,1.52389,2.07916,0.08395,1.19684,1.87761,0.000997011,0.000997011,0.000997011
16,118.302,1.19001,1.25506,0.32246,0.73973,1.31366,0.93891,1,0.995,0.71075,0.78133,0.83333,0.83167,0.52842,1.16661,1.94678,0.07084,1.1678,1.52217,0.000996569,0.000996569,0.000996569
17,125.526,1.23451,1.42013,0.36566,0.76202,1.3326,0.98732,1,0.995,0.77728,0.98732,1,0.995,0.81663,1.07118,1.47336,0.06174,1.2828,1.36552,0.000996097,0.000996097,0.000996097
18,132.741,1.15873,1.26512,0.34312,0.71252,1.30372,0.98498,1,0.995,0.77434,0.98498,1,0.995,0.80776,0.93847,0.89691,0.0615,0.86899,1.23706,0.000995594,0.000995594,0.000995594
19,139.923,1.21693,1.16154,0.3012,0.71424,1.3593,0.9751,1,0.995,0.8276,0.9751,1,0.995,0.85669,0.75804,0.69677,0.05381,1.0928,1.14842,0.000995062,0.000995062,0.000995062
20,147.653,1.23174,1.1403,0.29329,0.74083,1.34027,0.98037,1,0.995,0.78121,0.98037,1,0.995,0.78092,0.85667,1.23507,0.04537,1.01433,1.29066,0.000994499,0.000994499,0.000994499
21,155.121,1.17177,1.11092,0.28271,0.71263,1.30678,1,0.98275,0.995,0.6946,1,0.98275,0.995,0.79552,0.94098,0.8059,0.04193,1.11089,1.32811,0.000993906,0.000993906,0.000993906
22,162.314,1.17676,1.10324,0.29335,0.74775,1.27809,0.94734,1,0.995,0.84632,0.94734,1,0.995,0.88155,0.83834,0.66116,0.05199,0.85937,1.13937,0.000993282,0.000993282,0.000993282
23,169.348,1.17893,1.08322,0.27009,0.70918,1.30258,0.51569,0.16667,0.20809,0.03157,0.05625,0.16667,0.0412,0.01759,2.95307,5.73447,0.09938,3.2794,2.83851,0.000992629,0.000992629,0.000992629
24,176.591,1.13624,1.11589,0.23568,0.68808,1.26067,0.98136,0.83333,0.931,0.53009,0.98136,0.83333,0.931,0.82586,1.22847,0.8505,0.06537,1.01289,1.49726,0.000991946,0.000991946,0.000991946
25,183.834,1.18379,1.12056,0.25848,0.71566,1.31759,0.87173,1,0.995,0.79998,0.87173,1,0.995,0.83742,0.89895,0.8133,0.04212,1.01664,1.29463,0.000991232,0.000991232,0.000991232
26,191.375,1.13001,0.90876,0.22705,0.67964,1.29983,0.97804,1,0.995,0.77747,0.97804,1,0.995,0.8458,0.95415,0.66607,0.04115,0.99622,1.24397,0.000990489,0.000990489,0.000990489
27,198.637,1.1601,1.03726,0.25644,0.69484,1.30314,0.84979,1,0.94786,0.57428,0.84979,1,0.94786,0.84799,1.42892,1.39767,0.05842,1.32796,1.6423,0.000989715,0.000989715,0.000989715
28,205.776,1.14204,1.0606,0.21569,0.70282,1.26549,0.93415,1,0.995,0.81087,0.93415,1,0.995,0.84739,0.85488,0.79542,0.03673,1.50501,1.21073,0.000988912,0.000988912,0.000988912
29,212.846,1.18248,1.12703,0.25362,0.73341,1.26724,0.98182,1,0.995,0.81829,0.98182,1,0.995,0.85355,0.85883,0.59617,0.04223,0.98704,1.19487,0.000988079,0.000988079,0.000988079
30,219.877,1.13497,1.00902,0.218,0.68672,1.24317,1,0.99211,0.995,0.77314,1,0.99211,0.995,0.88931,0.74547,0.59377,0.04913,0.68995,1.15584,0.000987216,0.000987216,0.000987216
31,227.031,1.17228,0.83163,0.22408,0.64218,1.26391,0.96363,1,0.995,0.7856,0.96363,1,0.995,0.821,0.96628,0.69252,0.06305,0.87832,1.31795,0.000986323,0.000986323,0.000986323
32,234.138,1.1441,0.97174,0.22822,0.67021,1.28788,0.65599,1,0.91333,0.6613,0.65599,1,0.91333,0.81244,1.13808,0.79846,0.10392,1.01778,1.47239,0.000985401,0.000985401,0.000985401
33,241.405,1.05481,0.74411,0.21295,0.6505,1.23263,0.83799,1,0.97214,0.73026,0.83799,1,0.97214,0.92832,1.10829,0.70514,0.07551,1.02789,1.43305,0.000984449,0.000984449,0.000984449
34,248.951,1.11596,0.9146,0.19648,0.66086,1.25931,0.96789,0.83333,0.90357,0.71246,0.96789,0.83333,0.955,0.86319,0.78682,1.12257,0.04551,0.60775,1.17506,0.000983467,0.000983467,0.000983467
35,256.466,1.1122,0.84465,0.19855,0.65337,1.25718,0.82981,1,0.97214,0.7398,0.82981,1,0.97214,0.93169,0.84525,0.75645,0.03009,0.68086,1.18689,0.000982456,0.000982456,0.000982456
36,264,1.12044,0.78848,0.20426,0.64695,1.27525,0.93592,1,0.995,0.79487,0.93592,1,0.995,0.91917,0.79153,0.84035,0.03208,0.70424,1.18196,0.000981415,0.000981415,0.000981415
37,271.443,1.08897,0.76981,0.18688,0.63569,1.22456,0.98104,1,0.995,0.82125,0.98104,1,0.995,0.995,0.69888,0.31157,0.02556,0.53341,1.11336,0.000980345,0.000980345,0.000980345
38,278.624,1.02006,0.78138,0.17472,0.59902,1.17642,0.98048,1,0.995,0.78377,0.98048,1,0.995,0.9709,0.75857,0.33147,0.02462,0.6156,1.17222,0.000979246,0.000979246,0.000979246
39,285.692,1.11179,0.78226,0.20293,0.62665,1.22193,0.9468,1,0.995,0.82342,0.9468,1,0.995,0.92527,0.59276,0.39423,0.02364,0.89543,1.02366,0.000978118,0.000978118,0.000978118
40,292.859,1.05399,0.78042,0.20426,0.6229,1.23543,0.97283,1,0.995,0.87825,0.97283,1,0.995,0.995,0.66131,0.35952,0.03165,0.65577,1.07713,0.00097696,0.00097696,0.00097696
41,300.036,1.05568,0.84093,0.183,0.6266,1.22026,0.97056,1,0.995,0.83858,0.97056,1,0.995,0.92561,0.66015,0.40666,0.02903,0.68934,1.07654,0.000975773,0.000975773,0.000975773
42,307.345,1.05853,0.80918,0.18602,0.62271,1.20545,0.98907,1,0.995,0.89702,0.98907,1,0.995,0.93828,0.60188,0.31961,0.03066,0.50626,1.06216,0.000974557,0.000974557,0.000974557
43,314.772,1.02875,0.7298,0.18131,0.61596,1.20631,0.98903,1,0.995,0.8955,0.98903,1,0.995,0.97662,0.63909,0.37089,0.02713,0.52489,1.06906,0.000973312,0.000973312,0.000973312
44,321.91,1.07691,0.75462,0.16938,0.58926,1.21539,0.98242,1,0.995,0.89375,0.98242,1,0.995,0.92428,0.66481,0.38269,0.02628,0.46254,1.06731,0.000972039,0.000972039,0.000972039
45,329.132,1.0657,0.81757,0.19595,0.60169,1.24549,0.98222,1,0.995,0.86699,0.98222,1,0.995,0.96844,0.69679,0.44385,0.02951,0.47382,1.08419,0.000970736,0.000970736,0.000970736
46,336.422,1.00989,0.78663,0.17401,0.56301,1.1917,0.99072,1,0.995,0.8637,0.99072,1,0.995,0.9769,0.68496,0.25155,0.0252,0.43745,1.09144,0.000969405,0.000969405,0.000969405
47,343.942,1.03314,0.76168,0.16359,0.58608,1.22143,0.99021,1,0.995,0.8723,0.99021,1,0.995,0.89089,0.65192,0.44174,0.03063,0.41154,1.13813,0.000968045,0.000968045,0.000968045
48,351.268,1.03438,0.68647,0.15556,0.59724,1.21577,0.99082,1,0.995,0.92014,0.99082,1,0.995,0.94369,0.57382,0.26085,0.03528,0.38701,1.05099,0.000966656,0.000966656,0.000966656
49,358.628,1.06562,0.69191,0.14712,0.60945,1.24956,0.99035,1,0.995,0.80571,0.99035,1,0.995,0.92803,0.80715,0.29502,0.02644,0.47795,1.24722,0.000965239,0.000965239,0.000965239
50,365.709,1.03874,0.69502,0.16171,0.59316,1.2273,0.98842,1,0.995,0.79172,0.98842,1,0.995,0.94668,0.60087,0.23827,0.02717,0.50192,1.02739,0.000963794,0.000963794,0.000963794
