epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.96936,1.9005,14.4386,0.74957,4.05355,2.2206,0.0668,0.325,0.04736,0.00965,0.01638,0.025,0.00188,0.00031,3.12021,13.4258,0.59391,14.4406,4.27957,0.08614,0.00014,0.00014
2,15.0118,1.43385,9.06899,0.50904,1.54601,1.52581,0.74215,0.175,0.1869,0.03161,0.00109,0.05,0.00058,6e-05,3.1726,13.112,0.38123,3.36971,3.11312,0.07129,0.000289996,0.000289996
3,22.1643,1.36729,6.1246,0.4291,1.08495,1.48041,0.50071,0.8,0.70422,0.22104,0.00514,0.1,0.00319,0.00062,1.87496,12.9474,0.27886,6.72858,2.08581,0.05644,0.000439973,0.000439973
4,29.4127,1.36494,5.06429,0.39496,1.02501,1.52119,0.28416,0.81381,0.60402,0.3048,0.4,0.05,0.04087,0.00601,1.8065,11.1702,0.23666,7.44622,1.96564,0.0415899,0.000589919,0.000589919
5,36.8108,1.45587,4.69785,0.46178,1.04271,1.54336,0.662,0.8325,0.79833,0.43818,0.07603,0.125,0.0204,0.00394,1.49172,10.5998,0.14008,5.03585,1.78955,0.0267398,0.000739819,0.000739819
6,43.7202,1.43351,4.44335,0.4523,1.0351,1.5324,0.60915,0.66253,0.6505,0.34163,0.17339,0.2,0.07175,0.02975,1.78582,7.92258,0.10804,3.3242,2.04132,0.0118897,0.00088966,0.00088966
7,50.5797,1.40176,3.95286,0.40676,0.99231,1.48857,0.55715,0.72344,0.75122,0.31692,0.5625,0.225,0.20761,0.04799,1.74068,8.87094,0.09429,7.72034,2.17623,0.00099945,0.00099945,0.00099945
8,57.5583,1.37315,3.34102,0.37003,0.9553,1.48789,0.66694,0.9,0.8405,0.46513,0.45442,0.65,0.34633,0.1084,1.39563,6.0429,0.08623,4.96036,1.57987,0.000999252,0.000999252,0.000999252
9,65.0246,1.30622,3.24584,0.45554,0.90011,1.41999,0.79142,0.925,0.91227,0.40427,0.51485,0.65,0.48973,0.13963,1.69773,5.56352,0.09748,5.00315,1.80533,0.000999023,0.000999023,0.000999023
10,71.9109,1.32588,3.03985,0.40901,0.8843,1.40082,0.37219,0.225,0.2763,0.13764,0.46159,0.3,0.29686,0.15007,1.74546,6.73696,0.13245,8.09933,1.78569,0.000998764,0.000998764,0.000998764
11,78.9229,1.38507,2.91184,0.43253,0.87702,1.41785,0.74523,0.5852,0.65824,0.34528,0.60981,0.525,0.55048,0.30145,1.54284,6.01582,0.13204,5.44444,1.62458,0.000998474,0.000998474,0.000998474
12,85.724,1.29495,2.68178,0.38077,0.80875,1.38358,0.8431,0.53757,0.74243,0.44288,0.77822,0.5,0.66249,0.34252,1.42606,3.88833,0.12181,6.98403,1.46248,0.000998154,0.000998154,0.000998154
13,92.8447,1.31072,2.32185,0.40123,0.84488,1.43692,0.76149,0.79821,0.84958,0.48296,0.72347,0.75,0.79424,0.48759,1.35459,2.6774,0.13572,4.41252,1.45259,0.000997803,0.000997803,0.000997803
14,99.9585,1.31298,2.46834,0.45728,0.83973,1.4212,0.80743,0.9435,0.93216,0.58636,0.80743,0.9435,0.93216,0.62533,1.42357,2.04283,0.14294,4.66947,1.58963,0.000997422,0.000997422,0.000997422
15,106.987,1.27997,2.09264,0.39493,0.81465,1.40105,0.68453,0.775,0.72406,0.39356,0.66017,0.75,0.69468,0.45911,1.59338,2.34768,0.1309,3.56166,1.60101,0.000997011,0.000997011,0.000997011
16,113.782,1.28871,2.04555,0.40746,0.806,1.40381,0.73826,0.91682,0.91622,0.48519,0.7178,0.89039,0.89852,0.5957,1.63763,2.87076,0.13332,1.84724,1.69636,0.000996569,0.000996569,0.000996569
17,120.524,1.28064,1.92812,0.35774,0.76275,1.37286,0.83708,0.925,0.96825,0.579,0.83708,0.925,0.96825,0.67236,1.46421,2.15245,0.13755,2.05566,1.59281,0.000996097,0.000996097,0.000996097
