name,class,confidence,box,path
M,1,0.92458,"{'x1': 96.47418, 'y1': 0.0, 'x2': 722.32391, 'y2': 606.2124}",E:\00learning\00test\验证图片\1008_20250516_195031.jpg
C,0,0.65519,"{'x1': 93.14594, 'y1': 0.0, 'x2': 709.6236, 'y2': 583.84009}",E:\00learning\00test\验证图片\1023_20250516_163535.jpg
C,0,0.68345,"{'x1': 93.45703, 'y1': 0.0, 'x2': 714.43542, 'y2': 583.08435}",E:\00learning\00test\验证图片\1033_20250516_211805.jpg
C,0,0.8056,"{'x1': 87.5296, 'y1': 0.0, 'x2': 692.77893, 'y2': 576.88898}",E:\00learning\00test\验证图片\1076_20250516_204733.jpg
M,1,0.93237,"{'x1': 73.26184, 'y1': 0.0, 'x2': 710.06299, 'y2': 593.34851}",E:\00learning\00test\验证图片\1093_20250516_164149.jpg
C,0,0.89173,"{'x1': 89.80133, 'y1': 0.0, 'x2': 704.92511, 'y2': 581.10095}",E:\00learning\00test\验证图片\1095_20250516_155132.jpg
M,1,0.9248,"{'x1': 75.32513, 'y1': 0.0, 'x2': 704.88196, 'y2': 581.26929}",E:\00learning\00test\验证图片\1096_20250516_160432.jpg
C,0,0.90888,"{'x1': 91.34808, 'y1': 0.0, 'x2': 725.64856, 'y2': 585.38177}",E:\00learning\00test\验证图片\1110_20250516_192043.jpg
M,1,0.92757,"{'x1': 82.09338, 'y1': 0.0, 'x2': 718.08203, 'y2': 596.35333}",E:\00learning\00test\验证图片\1113_20250517_003721.jpg
M,1,0.93459,"{'x1': 88.54492, 'y1': 0.0, 'x2': 720.27563, 'y2': 592.7735}",E:\00learning\00test\验证图片\1118_20250517_015640.jpg
M,1,0.90109,"{'x1': 84.70276, 'y1': 0.0, 'x2': 722.30493, 'y2': 584.026}",E:\00learning\00test\验证图片\1123_20250517_122111.jpg
M,1,0.91147,"{'x1': 93.03833, 'y1': 0.0, 'x2': 742.47192, 'y2': 602.17358}",E:\00learning\00test\验证图片\1131_20250517_143600.jpg
M,1,0.89204,"{'x1': 93.88208, 'y1': 0.0, 'x2': 746.38086, 'y2': 602.24927}",E:\00learning\00test\验证图片\1131_20250517_225359.jpg
C,0,0.85827,"{'x1': 83.34381, 'y1': 0.0, 'x2': 709.49219, 'y2': 586.29456}",E:\00learning\00test\验证图片\1135_20250517_184748.jpg
S,2,0.92655,"{'x1': 49.17743, 'y1': 0.0, 'x2': 701.35199, 'y2': 580.34656}",E:\00learning\00test\验证图片\1140_20250517_135816.jpg
M,1,0.92352,"{'x1': 89.96368, 'y1': 0.0, 'x2': 726.02032, 'y2': 595.42078}",E:\00learning\00test\验证图片\1144_20250516_232904.jpg
C,0,0.90654,"{'x1': 90.35992, 'y1': 0.0, 'x2': 714.05011, 'y2': 582.0451}",E:\00learning\00test\验证图片\1145_20250517_153131.jpg
M,1,0.92789,"{'x1': 85.80042, 'y1': 0.0, 'x2': 718.25037, 'y2': 592.46289}",E:\00learning\00test\验证图片\1147_20250516_214625.jpg
